Date,Open,High,Low,Close,Adj Close,Volume
2007-12-05,7850.939941,7953.939941,7842.620117,7944.770020,7944.770020,131933400
2007-12-06,7958.180176,7998.040039,7911.479980,7940.580078,7940.580078,139365500
2007-12-07,7963.250000,8009.759766,7957.549805,7994.069824,7994.069824,143087000
2007-12-10,7972.700195,8057.689941,7955.189941,8033.359863,8033.359863,110482500
2007-12-11,8050.370117,8067.040039,7983.410156,8009.419922,8009.419922,122136000
2007-12-12,7968.930176,8117.790039,7928.120117,8076.120117,8076.120117,166038200
2007-12-13,8014.470215,8034.319824,7922.979980,7928.310059,7928.310059,141540500
2007-12-14,7949.000000,7987.290039,7873.270020,7948.359863,7948.359863,106778000
2007-12-17,7884.169922,7884.189941,7812.020020,7825.439941,7825.439941,128105200
2007-12-18,7811.080078,7942.759766,7796.100098,7850.740234,7850.740234,118866400
2007-12-19,7865.330078,7876.589844,7777.399902,7837.319824,7837.319824,111231400
2007-12-20,7842.259766,7919.049805,7842.169922,7869.189941,7869.189941,108941400
2007-12-21,7913.379883,8015.419922,7913.379883,8002.669922,8002.669922,247726900
2007-12-27,8038.729980,8073.990234,8024.770020,8038.600098,8038.600098,79921000
2007-12-28,8010.890137,8068.950195,7991.810059,8067.319824,8067.319824,41693300
2008-01-02,8045.970215,8100.640137,7925.109863,7949.109863,7949.109863,110721200
2008-01-03,7941.520020,7969.899902,7858.390137,7908.410156,7908.410156,128154400
2008-01-04,7913.529785,7914.700195,7780.270020,7808.689941,7808.689941,180875100
2008-01-07,7810.819824,7858.640137,7781.680176,7817.169922,7817.169922,188030700
2008-01-08,7844.500000,7923.439941,7831.509766,7849.990234,7849.990234,186940800
2008-01-09,7839.229980,7841.620117,7770.419922,7782.709961,7782.709961,206848900
2008-01-10,7799.109863,7830.950195,7700.850098,7713.089844,7713.089844,176002400
2008-01-11,7717.450195,7746.470215,7675.450195,7717.950195,7717.950195,167246600
2008-01-14,7692.540039,7759.169922,7683.540039,7732.020020,7732.020020,132876200
2008-01-15,7714.600098,7724.259766,7563.899902,7566.379883,7566.379883,234018700
2008-01-16,7536.479980,7555.560059,7450.379883,7471.569824,7471.569824,268115800
2008-01-17,7504.850098,7547.470215,7400.080078,7413.529785,7413.529785,207479900
2008-01-18,7417.549805,7501.040039,7287.290039,7314.169922,7314.169922,248106100
2008-01-21,7292.680176,7292.680176,6762.770020,6790.189941,6790.189941,409707000
2008-01-22,6591.390137,6877.620117,6420.709961,6769.470215,6769.470215,469436200
2008-01-23,6811.810059,6884.870117,6384.399902,6439.209961,6439.209961,369148100
2008-01-24,6550.109863,6854.979980,6550.109863,6821.069824,6821.069824,316874200
2008-01-25,6884.160156,7002.189941,6782.410156,6816.740234,6816.740234,234245900
2008-01-28,6749.290039,6827.370117,6680.299805,6818.850098,6818.850098,182821600
2008-01-29,6834.600098,6929.879883,6823.680176,6892.959961,6892.959961,189797000
2008-01-30,6886.919922,6920.770020,6822.439941,6875.350098,6875.350098,158265800
2008-01-31,6856.879883,6887.750000,6691.250000,6851.750000,6851.750000,206707500
2008-02-01,6896.189941,7037.160156,6896.189941,6968.669922,6968.669922,194561800
